idx;Variable_AR6;Unit;r21m42;r21m42_unit;r21m42_factor;r21m42_spatial;m42;m42_unit;m42_factor;r30m44;r30m44_unit;r30m44_factor;r30m44_spatial;m44;m44_unit;m44_factor;internal_comment;Comment;Definition
12;Yield|Sugarcrops;t DM/ha/yr;;;;;;;;Productivity|Yield|Crops|+|Sugar crops;t DM/ha;;;Productivity|Yield|Crops|+|Sugar crops;t DM/ha;;;;aggregated yield of Sugarcrops (e.g. sugarbeet,sugarcane)
13;Carbon Sequestration|CCS;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage;Mt CO2/yr;;;;;;Carbon Management|Storage;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
14;Carbon Sequestration|CCS|Biomass;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Biomass|Supply|w/ couple prod;Mt CO2/yr;;;;;;Carbon Management|Storage|+|Biomass|Pe2Se;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
;Carbon Sequestration|CCS|Biomass;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry;Mt CO2/yr;;;;;;Carbon Management|Storage|Industry Energy|+|Biomass;Mt CO2/yr;;;;;;;;
15;Carbon Sequestration|CCS|Biomass|Energy;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Biomass|Supply|w/ couple prod;Mt CO2/yr;;;;;;Carbon Management|Storage|+|Biomass|Pe2Se;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
;Carbon Sequestration|CCS|Biomass|Energy;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry;Mt CO2/yr;;;;;;Carbon Management|Storage|Industry Energy|+|Biomass;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
16;Carbon Sequestration|CCS|Biomass|Energy|Demand|Industry;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Biomass|Energy|Demand|Industry;Mt CO2/yr;;;;;;Carbon Management|Storage|Industry Energy|+|Biomass;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from bioenergy use in industry (IPCC category 1A2) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
17;Carbon Sequestration|CCS|Biomass|Energy|Supply;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Biomass|Supply|w/ couple prod;Mt CO2/yr;;;;;;Carbon Management|Storage|+|Biomass|Pe2Se;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from bioenergy use and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
18;Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Electricity|w/ couple prod;Mt CO2/yr;;;;;;Carbon Management|Storage|Biomass|Pe2Se|+|Electricity w/ couple prod;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from bioenergy use in electricity production (part of IPCC category 1A1a) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
19;Carbon Sequestration|CCS|Biomass|Energy|Supply|Gases;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Gases|w/ couple prod;Mt CO2/yr;;;;;;Carbon Management|Storage|Biomass|Pe2Se|+|Gases w/ couple prod;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from bioenergy use in gaseous fuel production,excl. hydrogen (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
20;Carbon Sequestration|CCS|Biomass|Energy|Supply|Hydrogen;Mt CO2/yr;Emi|CO2|Carbon Capture and Storage|Biomass|Supply|Hydrogen|w/ couple prod;Mt CO2/yr;;;;;;Carbon Management|Storage|Biomass|Pe2Se|+|Hydrogen w/ couple prod;Mt CO2/yr;;;;;;;;total carbon dioxide emissions captured from bioenergy use in hydrogen production (part of IPCC category 1A) and stored in geological deposits (e.g. in depleted oil and gas fields,unmined coal seams,saline aquifers) and the deep ocean,stored amounts should be reported as positive numbers
