parent;child;factor
Emissions|CH4|Energy|Demand|Transportation;Emissions|CH4|Energy|Demand|Transportation|Freight;1
Emissions|CH4|Energy|Demand|Transportation;Emissions|CH4|Energy|Demand|Transportation|Passenger;1
Emissions|CH4|AFOLU|Agriculture;Emissions|CH4|AFOLU|Agriculture|Livestock;1
Emissions|CH4|AFOLU|Agriculture;Emissions|CH4|AFOLU|Agriculture|Rice;1
Emissions|CH4|Industrial Processes|Chemicals;Emissions|CH4|Industrial Processes|Chemicals|Ammonia;1
Emissions|CH4|Industrial Processes|Chemicals;Emissions|CH4|Industrial Processes|Chemicals|High value chemicals;1
Emissions|CH4|Industrial Processes|Chemicals;Emissions|CH4|Industrial Processes|Chemicals|Methanol;1
Emissions|CH4|Industrial Processes|Chemicals;Emissions|CH4|Industrial Processes|Chemicals|Other;1
Emissions|CH4|AFOLU;Emissions|CH4|AFOLU|Agriculture;1
Emissions|CH4|AFOLU;Emissions|CH4|AFOLU|Land;1
Emissions|CH4|Industrial Processes;Emissions|CH4|Industrial Processes|Chemicals;1
Emissions|CH4|Industrial Processes;Emissions|CH4|Industrial Processes|Non-ferrous metals;1
Emissions|CH4|Industrial Processes;Emissions|CH4|Industrial Processes|Other;1
Emissions|CH4|Industrial Processes;Emissions|CH4|Industrial Processes|Plastics;1
Emissions|CH4|Industrial Processes;Emissions|CH4|Industrial Processes|Pulp and Paper;1
Emissions|CH4|Industrial Processes;Emissions|CH4|Industrial Processes|Steel;1
Emissions|CH4;Emissions|CH4|AFOLU;1
Emissions|CH4;Emissions|CH4|Energy;1
Emissions|CH4;Emissions|CH4|Industrial Processes;1
Emissions|CH4;Emissions|CH4|Other;1
Emissions|CH4;Emissions|CH4|Waste;1
Emissions|CO|Energy|Demand|Residential and Commercial;Emissions|CO|Energy|Demand|Residential and Commercial|Commercial;1
Emissions|CO|Energy|Demand|Residential and Commercial;Emissions|CO|Energy|Demand|Residential and Commercial|Residential;1
Emissions|CO|Energy|Demand|Transportation;Emissions|CO|Energy|Demand|Transportation|Freight;1
Emissions|CO|Energy|Demand|Transportation;Emissions|CO|Energy|Demand|Transportation|Passenger;1
Emissions|CO|AFOLU;Emissions|CO|AFOLU|Agriculture;1
Emissions|CO|AFOLU;Emissions|CO|AFOLU|Land;1
Emissions|CO|Energy;Emissions|CO|Energy|Supply;1
Emissions|CO|Energy;Emissions|CO|Energy|Demand|Residential and Commercial;1
Emissions|CO|Energy;Emissions|CO|Energy|Demand|Industry;1
Emissions|CO|Energy;Emissions|CO|Energy|Demand|Transportation;1
Emissions|CO;Emissions|CO|AFOLU;1
Emissions|CO;Emissions|CO|Energy;1
Emissions|CO;Emissions|CO|Industrial Processes;1
Emissions|CO;Emissions|CO|Other;1
Emissions|CO;Emissions|CO|Waste;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating;Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Cooking;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating;Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Space;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating;Emissions|CO2|Energy|Demand|Residential and Commercial|Commercial|Heating|Water;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating;Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Cooking;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating;Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Space;1
Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating;Emissions|CO2|Energy|Demand|Residential and Commercial|Residential|Heating|Water;1
Emissions|CO2|Energy|Demand|Transportation|Road|Passenger;Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|2W&3W;1
Emissions|CO2|Energy|Demand|Transportation|Road|Passenger;Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|Bus;1
Emissions|CO2|Energy|Demand|Transportation|Road|Passenger;Emissions|CO2|Energy|Demand|Transportation|Road|Passenger|LDV;1
Emissions|CO2|Energy|Demand|Industry|Chemicals;Emissions|CO2|Energy|Demand|Industry|Chemicals|Ammonia;1
Emissions|CO2|Energy|Demand|Industry|Chemicals;Emissions|CO2|Energy|Demand|Industry|Chemicals|High value chemicals;1
Emissions|CO2|Energy|Demand|Industry|Chemicals;Emissions|CO2|Energy|Demand|Industry|Chemicals|Methanol;1
Emissions|CO2|Energy|Demand|Industry|Chemicals;Emissions|CO2|Energy|Demand|Industry|Chemicals|Other;1
