variable;unit;piam_variable;piam_unit;piam_factor;Definition;Comment;internal_comment;source
Emissions|Kyoto Gases|Energy;Mt CO2e/yr;Emi|GHG|+++|Energy;Mt CO2eq/yr;1;;;;R
Emissions|Kyoto Gases|Energy;Mt CO2e/yr;Emi|CO2|Energy|Demand|Transport|International Bunkers;Mt CO2/yr;1;;;;R
Emissions|Kyoto Gases|Industrial Processes;Mt CO2e/yr;Emi|GHG|+++|Industrial Processes;Mt CO2eq/yr;1;;;;R
Emissions|Kyoto Gases|Energy and Industrial Processes;Mt CO2e/yr;Emi|GHG|+++|Energy;Mt CO2eq/yr;1;;;;R
Emissions|Kyoto Gases|Energy and Industrial Processes;Mt CO2e/yr;Emi|CO2|Energy|Demand|Transport|International Bunkers;Mt CO2/yr;1;;;;R
Emissions|Kyoto Gases|Energy and Industrial Processes;Mt CO2e/yr;Emi|GHG|+++|Industrial Processes;Mt CO2eq/yr;1;;;;R
Emissions|Kyoto Gases|Industry and Industrial Processes;Mt CO2e/yr;;;;;;;
Emissions|Kyoto Gases|Other;Mt CO2e/yr;Emi|GHG|+++|non-BECCS CDR;Mt CO2eq/yr;1;;;;R
Emissions|Kyoto Gases|Waste;Mt CO2e/yr;Emi|GHG|+++|Waste;Mt CO2eq/yr;1;;;;R
Emissions|N2O;kt N2O/yr;Emi|N2O;kt N2O/yr;1;;;;R
Emissions|N2O|AFOLU;kt N2O/yr;;;;;;;
Emissions|N2O|AFOLU|Agriculture;kt N2O/yr;Emi|N2O|+|Agriculture;kt N2O/yr;1;;;;R
Emissions|N2O|AFOLU|Land;kt N2O/yr;Emi|N2O|+|Land-Use Change;kt N2O/yr;1;;;;R
Emissions|N2O|Energy;kt N2O/yr;Emi|N2O|+|Industry;kt N2O/yr;1;;;;R
Emissions|N2O|Energy;kt N2O/yr;Emi|N2O|+|Transport;kt N2O/yr;1;;;;R
Emissions|N2O|Energy;kt N2O/yr;Emi|N2O|+|Energy Supply;kt N2O/yr;1;;;;R
Emissions|N2O|Energy|Demand;kt N2O/yr;Emi|N2O|+|Industry;kt N2O/yr;1;;;;R
Emissions|N2O|Energy|Demand;kt N2O/yr;Emi|N2O|+|Transport;kt N2O/yr;1;;;;R
Emissions|N2O|Energy|Demand|Industry;kt N2O/yr;Emi|N2O|+|Industry;kt N2O/yr;1;;;;R
Emissions|N2O|Energy|Demand|Residential and Commercial;kt N2O/yr;;;;;;;
Emissions|N2O|Energy|Demand|Transportation;kt N2O/yr;Emi|N2O|+|Transport;kt N2O/yr;1;;;;R
Emissions|N2O|Energy|Supply;kt N2O/yr;Emi|N2O|+|Energy Supply;kt N2O/yr;1;;;;R
Emissions|N2O|Other;kt N2O/yr;;;;;;;
Emissions|N2O|Waste;kt N2O/yr;Emi|N2O|+|Waste;kt N2O/yr;1;;;;R
Energy Service|Bunkers|Freight|International Aviation;Gtkm/yr;;;;;;;
Energy Service|Bunkers|Freight|International Shipping;Gtkm/yr;;;;;;;
Energy Service|Bunkers|Passenger|International Aviation;Gpkm/yr;;;;;;;
Energy Service|Bunkers|Passenger|International Shipping;Gpkm/yr;;;;;;;
Energy Service|Commercial|Floor Space;bn m2/yr;;;;;;;
Energy Service|Residential and Commercial|Floor Space;bn m2/yr;ES|Buildings|Floor Space;bn m2;1;;;;R
Energy Service|Residential|Floor Space;bn m2/yr;;;;;;;
Energy Service|Transportation|Freight;Gtkm/yr;ES|Transport|Freight;bn tkm/yr;1;;;;R
Energy Service|Transportation|Freight|Domestic Aviation;Gtkm/yr;;;;;;;
Energy Service|Transportation|Freight|Domestic Shipping;Gtkm/yr;;;;;;;
Energy Service|Transportation|Freight|Rail;Gtkm/yr;;;;;;;
Energy Service|Transportation|Freight|Truck;Gtkm/yr;;;;;;;
Energy Service|Transportation|Passenger;Gpkm/yr;ES|Transport|Pass;bn pkm/yr;1;;;;R
Energy Service|Transportation|Passenger|2W and 3W;Gpkm/yr;;;;;;;
Energy Service|Transportation|Passenger|Bicycling and Walking;Gpkm/yr;;;;;;;
Energy Service|Transportation|Passenger|Bus;Gpkm/yr;;;;;;;
Energy Service|Transportation|Passenger|Domestic Aviation;Gpkm/yr;;;;;;;
Energy Service|Transportation|Passenger|Domestic Shipping;Gpkm/yr;;;;;;;
Energy Service|Transportation|Passenger|LDV;Gpkm/yr;;;;;;;
Energy Service|Transportation|Passenger|Rail;Gpkm/yr;;;;;;;
Energy Service|Transportation|Passenger|Truck;Gpkm/yr;;;;;;;
Final Energy;EJ/yr;FE;EJ/yr;1;;;;R
Final Energy|Bunkers;EJ/yr;FE|Transport|Bunkers;EJ/yr;1;;;;R
Final Energy|Bunkers|Electricity;EJ/yr;FE|Transport|Bunkers|+|Electricity;EJ/yr;1;;;;R
Final Energy|Bunkers|Freight;EJ/yr;FE|Transport|Freight|Bunkers;EJ/yr;1;;;;T
Final Energy|Bunkers|International Aviation|Freight;EJ/yr;;;;;;;
Final Energy|Bunkers|International Shipping|Freight;EJ/yr;;;;;;;
Final Energy|Bunkers|Gases;EJ/yr;FE|Transport|Bunkers|+|Gases;EJ/yr;1;;;;R
Final Energy|Bunkers|Gases|Biomass;EJ/yr;FE|Transport|Bunkers|Gases|+|Biomass;EJ/yr;1;;;;R
Final Energy|Bunkers|Gases|Electricity;EJ/yr;FE|Transport|Bunkers|Gases|+|Hydrogen;EJ/yr;1;;;;R
Final Energy|Bunkers|Gases|Fossil;EJ/yr;FE|Transport|Bunkers|Gases|+|Fossil;EJ/yr;1;;;;R
Final Energy|Bunkers|Hydrogen;EJ/yr;FE|Transport|Bunkers|+|Hydrogen;EJ/yr;1;;;;R
Final Energy|Bunkers|International Aviation;EJ/yr;;;;;;;
Final Energy|Bunkers|International Aviation|Electricity;EJ/yr;;;;;;;
Final Energy|Bunkers|International Aviation|Gases;EJ/yr;;;;;;;
Final Energy|Bunkers|International Aviation|Gases|Biomass;EJ/yr;;;;;;;
Final Energy|Bunkers|International Aviation|Gases|Electricity;EJ/yr;;;;;;;
Final Energy|Bunkers|International Aviation|Gases|Fossil;EJ/yr;;;;;;;
Final Energy|Bunkers|International Aviation|Hydrogen;EJ/yr;;;;;;;
Final Energy|Bunkers|International Aviation|Hydrogen|Biomass;EJ/yr;;;;;;;
Final Energy|Bunkers|International Aviation|Hydrogen|Electricity;EJ/yr;;;;;;;
Final Energy|Bunkers|International Aviation|Hydrogen|Fossil;EJ/yr;;;;;;;
