variable;unit;piam_variable;piam_unit;piam_factor;Definition;Comment;internal_comment;source
Price|Secondary Energy|Hydrogen;EUR_2020/GJ;Price|Secondary Energy|Hydrogen;US$2005/GJ;1.17;;;;R
Price|Secondary Energy|Hydrogen|Biomass;EUR_2020/GJ;;;;;;;
Price|Secondary Energy|Hydrogen|Electricity;EUR_2020/GJ;;;;;;;
Price|Secondary Energy|Hydrogen|Fossil;EUR_2020/GJ;;;;;;;
Price|Secondary Energy|Liquids;EUR_2020/GJ;Price|Secondary Energy|Liquids;US$2005/GJ;1.17;;;;R
Price|Secondary Energy|Liquids|Biomass;EUR_2020/GJ;Price|Secondary Energy|Liquids|Biomass;US$2005/GJ;1.17;;;;R
Price|Secondary Energy|Liquids|Electricity;EUR_2020/GJ;Price|Secondary Energy|Liquids|Hydrogen;US$2005/GJ;1.17;;;;R
Price|Secondary Energy|Liquids|Fossil;EUR_2020/GJ;Price|Secondary Energy|Liquids|Fossil;US$2005/GJ;1.17;;;;R
Price|Secondary Energy|Other;EUR_2020/GJ;;;;;;;
Price|Secondary Energy|Solar;EUR_2020/GJ;;;;;;;
Price|Secondary Energy|Solids;EUR_2020/GJ;Price|Secondary Energy|Solids;US$2005/GJ;1.17;;;;R
Price|Secondary Energy|Solids|Biomass;EUR_2020/GJ;Price|Secondary Energy|Solids|Biomass;US$2005/GJ;1.17;;;;R
Price|Secondary Energy|Solids|Biomass|Traditional;EUR_2020/GJ;;;;;;;
Price|Secondary Energy|Solids|Fossil;EUR_2020/GJ;Price|Secondary Energy|Solids|Fossil;US$2005/GJ;1.17;;;;R
Primary Energy;EJ/yr;PE;EJ/yr;1;;;;R
Primary Energy|Biomass;EJ/yr;PE|+|Biomass;EJ/yr;1;;;;R
Primary Energy|Biomass|Electricity;EJ/yr;PE|Biomass|Electricity;EJ/yr;1;;;;R
Primary Energy|Biomass|Electricity|w/ CCS;EJ/yr;PE|Biomass|Electricity|w/ CC;EJ/yr;1;;;;R
Primary Energy|Biomass|Electricity|w/o CCS;EJ/yr;PE|Biomass|Electricity|w/o CC;EJ/yr;1;;;;R
Primary Energy|Biomass|Modern;EJ/yr;PE|Biomass|Modern;EJ/yr;1;;;;R
Primary Energy|Biomass|Traditional;EJ/yr;PE|Biomass|Traditional;EJ/yr;1;;;;R
Primary Energy|Biomass|w/ CCS;EJ/yr;PE|Biomass|w/ CC;EJ/yr;1;;;;R
Primary Energy|Biomass|w/o CCS;EJ/yr;PE|Biomass|w/o CC;EJ/yr;1;;;;R
Primary Energy|Coal;EJ/yr;PE|+|Coal;EJ/yr;1;;;;R
Primary Energy|Coal|Electricity;EJ/yr;PE|Coal|Electricity;EJ/yr;1;;;;R
Primary Energy|Coal|Electricity|w/ CCS;EJ/yr;PE|Coal|Electricity|w/ CC;EJ/yr;1;;;;R
Primary Energy|Coal|Electricity|w/o CCS;EJ/yr;PE|Coal|Electricity|w/o CC;EJ/yr;1;;;;R
Primary Energy|Coal|w/ CCS;EJ/yr;PE|Coal|w/ CC;EJ/yr;1;;;;R
Primary Energy|Coal|w/o CCS;EJ/yr;PE|Coal|w/o CC;EJ/yr;1;;;;R
Primary Energy|Fossil;EJ/yr;PE|Fossil;EJ/yr;1;;;;R
Primary Energy|Fossil|w/ CCS;EJ/yr;PE|Fossil|w/ CC;EJ/yr;1;;;;R
Primary Energy|Fossil|w/o CCS;EJ/yr;PE|Fossil|w/o CC;EJ/yr;1;;;;R
Primary Energy|Gas;EJ/yr;PE|+|Gas;EJ/yr;1;;;;R
Primary Energy|Gas|Electricity;EJ/yr;PE|Gas|Electricity;EJ/yr;1;;;;R
Primary Energy|Gas|Electricity|w/ CCS;EJ/yr;PE|Gas|Electricity|w/ CC;EJ/yr;1;;;;R
Primary Energy|Gas|Electricity|w/o CCS;EJ/yr;PE|Gas|Electricity|w/o CC;EJ/yr;1;;;;R
Primary Energy|Gas|w/ CCS;EJ/yr;PE|Gas|w/ CC;EJ/yr;1;;;;R
Primary Energy|Gas|w/o CCS;EJ/yr;PE|Gas|w/o CC;EJ/yr;1;;;;R
Primary Energy|Geothermal;EJ/yr;PE|+|Geothermal;EJ/yr;1;;;;R
Primary Energy|Hydro;EJ/yr;PE|+|Hydro;EJ/yr;1;;;;R
Primary Energy|Nuclear;EJ/yr;PE|+|Nuclear;EJ/yr;1;;;;R
Primary Energy|Ocean;EJ/yr;;;;;;;
Primary Energy|Oil;EJ/yr;PE|+|Oil;EJ/yr;1;;;;R
Primary Energy|Oil|Electricity;EJ/yr;;;;;;;
Primary Energy|Oil|Electricity|w/ CCS;EJ/yr;;;;;;;
Primary Energy|Oil|Electricity|w/o CCS;EJ/yr;;;;;;;
Primary Energy|Oil|w/ CCS;EJ/yr;;;;;;;
Primary Energy|Oil|w/o CCS;EJ/yr;PE|Oil|w/o CC;EJ/yr;1;;;;R
Primary Energy|Other;EJ/yr;;;;;;;
Primary Energy|Solar;EJ/yr;PE|+|Solar;EJ/yr;1;;;;R
Primary Energy|Wind;EJ/yr;PE|+|Wind;EJ/yr;1;;;;R
Primary Energy|Wind|Offshore;EJ/yr;PE|Wind|+|Offshore;EJ/yr;1;;;;R
Primary Energy|Wind|Onshore;EJ/yr;PE|Wind|+|Onshore;EJ/yr;1;;;;R
Secondary Energy;EJ/yr;SE;EJ/yr;1;;;;R
Secondary Energy|Electricity;EJ/yr;SE|Electricity;EJ/yr;1;;;;R
Secondary Energy|Electricity|Biomass;EJ/yr;SE|Electricity|+|Biomass;EJ/yr;1;;;;R
Secondary Energy|Electricity|Biomass|w/ CCS;EJ/yr;SE|Electricity|Biomass|+|w/ CC;EJ/yr;1;;;;R
Secondary Energy|Electricity|Biomass|w/o CCS;EJ/yr;SE|Electricity|Biomass|+|w/o CC;EJ/yr;1;;;;R
Secondary Energy|Electricity|Coal;EJ/yr;SE|Electricity|+|Coal;EJ/yr;1;;;;R
Secondary Energy|Electricity|Coal|w/ CCS;EJ/yr;SE|Electricity|Coal|+|w/ CC;EJ/yr;1;;;;R
Secondary Energy|Electricity|Coal|w/o CCS;EJ/yr;SE|Electricity|Coal|+|w/o CC;EJ/yr;1;;;;R
Secondary Energy|Electricity|Curtailment;EJ/yr;SE|Electricity|Curtailment;EJ/yr;1;;;;R
Secondary Energy|Electricity|Fossil;EJ/yr;;;;;;;
Secondary Energy|Electricity|Fossil|w/ CCS;EJ/yr;;;;;;;
Secondary Energy|Electricity|Fossil|w/o CCS;EJ/yr;;;;;;;
Secondary Energy|Electricity|Gas;EJ/yr;SE|Electricity|+|Gas;EJ/yr;1;;;;R
Secondary Energy|Electricity|Gas|w/ CCS;EJ/yr;SE|Electricity|Gas|+|w/ CC;EJ/yr;1;;;;R
Secondary Energy|Electricity|Gas|w/o CCS;EJ/yr;SE|Electricity|Gas|+|w/o CC;EJ/yr;1;;;;R
Secondary Energy|Electricity|Geothermal;EJ/yr;SE|Electricity|+|Geothermal;EJ/yr;1;;;;R
Secondary Energy|Electricity|Hydro;EJ/yr;SE|Electricity|+|Hydro;EJ/yr;1;;;;R
Secondary Energy|Electricity|Hydrogen;EJ/yr;SE|Electricity|+|Hydrogen;EJ/yr;1;;;;R
Secondary Energy|Electricity|Non-Biomass Renewables;EJ/yr;SE|Electricity|Non-Biomass Renewables;EJ/yr;1;;;;R
Secondary Energy|Electricity|Nuclear;EJ/yr;SE|Electricity|+|Nuclear;EJ/yr;1;;;;R
Secondary Energy|Electricity|Ocean;EJ/yr;;;;;;;
Secondary Energy|Electricity|Oil;EJ/yr;SE|Electricity|Oil|DOT;EJ/yr;1;;;;R
Secondary Energy|Electricity|Oil|w/ CCS;EJ/yr;;;;;;;
Secondary Energy|Electricity|Oil|w/o CCS;EJ/yr;SE|Electricity|Oil|w/o CC;EJ/yr;1;;;;R
Secondary Energy|Electricity|Other;EJ/yr;;;;;;;
Secondary Energy|Electricity|Solar;EJ/yr;SE|Electricity|+|Solar;EJ/yr;1;;;;R
Secondary Energy|Electricity|Solar|CSP;EJ/yr;SE|Electricity|Solar|+|CSP;EJ/yr;1;;;;R
Secondary Energy|Electricity|Solar|PV;EJ/yr;SE|Electricity|Solar|+|PV;EJ/yr;1;;;;R
Secondary Energy|Electricity|Storage;EJ/yr;;;;;;;
Secondary Energy|Electricity|Storage Losses;EJ/yr;;;;;;;
Secondary Energy|Electricity|Transmission Losses;EJ/yr;;;;;;;
Secondary Energy|Electricity|Wind;EJ/yr;SE|Electricity|+|Wind;EJ/yr;1;;;;R
Secondary Energy|Electricity|Wind|Offshore;EJ/yr;SE|Electricity|Wind|+|Offshore;EJ/yr;1;;;;R
Secondary Energy|Electricity|Wind|Onshore;EJ/yr;SE|Electricity|Wind|+|Onshore;EJ/yr;1;;;;R
Secondary Energy|Gases;EJ/yr;SE|Gases;EJ/yr;1;;;;R
Secondary Energy|Gases;EJ/yr;SE|Gases|Biomass|Waste;EJ/yr;-1;;only necessary to fix double accounting in results before remind2 PR456 merge;;R
Secondary Energy|Gases|Biomass;EJ/yr;SE|Gases|+|Biomass;EJ/yr;1;;;;R
Secondary Energy|Gases|Coal;EJ/yr;;;;;;;
Secondary Energy|Gases|Electricity;EJ/yr;SE|Gases|+|Hydrogen;EJ/yr;1;;;;R
Secondary Energy|Gases|Fossil;EJ/yr;SE|Gases|+|Fossil;EJ/yr;1;;;;R
Secondary Energy|Gases|Gas;EJ/yr;;;;;;;
Secondary Energy|Heat;EJ/yr;SE|Heat;EJ/yr;1;;;;R
Secondary Energy|Heat|Biomass;EJ/yr;SE|Heat|+|Biomass;EJ/yr;1;;;;R
Secondary Energy|Heat|Coal;EJ/yr;;;;;;;
Secondary Energy|Heat|Gas;EJ/yr;;EJ/yr;1;;;;
Secondary Energy|Heat|Fossil;EJ/yr;SE|Heat|+|Coal;EJ/yr;1;;;;R
Secondary Energy|Heat|Fossil;EJ/yr;SE|Heat|+|Gas;EJ/yr;1;;;;R
Secondary Energy|Heat|Fossil;EJ/yr;;EJ/yr;1;;;;
Secondary Energy|Heat|Geothermal;EJ/yr;SE|Heat|+|Geothermal;EJ/yr;1;;;;R
Secondary Energy|Heat|Nuclear;EJ/yr;;;;;;;
Secondary Energy|Heat|Oil;EJ/yr;;;;;;;
Secondary Energy|Heat|Solar;EJ/yr;SE|Heat|+|Solar;EJ/yr;1;;;;R
Secondary Energy|Hydrogen;EJ/yr;SE|Hydrogen;EJ/yr;1;;;;R
Secondary Energy|Hydrogen|Biomass;EJ/yr;SE|Hydrogen|+|Biomass;EJ/yr;1;;;;R
Secondary Energy|Hydrogen|Biomass|w/ CCS;EJ/yr;SE|Hydrogen|Biomass|+|w/ CC;EJ/yr;1;;;;R
Secondary Energy|Hydrogen|Biomass|w/o CCS;EJ/yr;SE|Hydrogen|Biomass|+|w/o CC;EJ/yr;1;;;;R
Secondary Energy|Hydrogen|Electricity;EJ/yr;SE|Hydrogen|+|Electricity;EJ/yr;1;;;;R
Secondary Energy|Hydrogen|Fossil;EJ/yr;SE|Hydrogen|Fossil;EJ/yr;1;;;;R
Secondary Energy|Hydrogen|Fossil|w/ CCS;EJ/yr;SE|Hydrogen|Fossil|+|w/ CC;EJ/yr;1;;;;R
Secondary Energy|Hydrogen|Fossil|w/o CCS;EJ/yr;SE|Hydrogen|Fossil|+|w/o CC;EJ/yr;1;;;;R
Secondary Energy|Hydrogen|Nuclear;EJ/yr;;;;;;;
Secondary Energy|Hydrogen|Solar;EJ/yr;;;;;;;
Secondary Energy|Hydrogen|Coal;EJ/yr;;;;;;;
Secondary Energy|Hydrogen|Coal|w/ CCS;EJ/yr;;;;;;;
Secondary Energy|Hydrogen|Coal|w/o CCS;EJ/yr;;;;;;;
Secondary Energy|Hydrogen|Gas;EJ/yr;;;;;;;
Secondary Energy|Hydrogen|Gas|w/ CCS;EJ/yr;;;;;;;
Secondary Energy|Hydrogen|Gas|w/o CCS;EJ/yr;;;;;;;
Secondary Energy|Hydrogen|Oil;EJ/yr;;;;;;;
Secondary Energy|Hydrogen|Oil|w/ CCS;EJ/yr;;;;;;;
Secondary Energy|Hydrogen|Oil|w/o CCS;EJ/yr;;;;;;;
Secondary Energy|Liquids;EJ/yr;SE|Liquids;EJ/yr;1;;;;R
Secondary Energy|Liquids|Biomass;EJ/yr;SE|Liquids|+|Biomass;EJ/yr;1;;;;R
Secondary Energy|Liquids|Biomass|w/ CCS;EJ/yr;SE|Liquids|Biomass|+|w/ CC;EJ/yr;1;;;;R
Secondary Energy|Liquids|Biomass|w/o CCS;EJ/yr;SE|Liquids|Biomass|+|w/o CC;EJ/yr;1;;;;R
Secondary Energy|Liquids|Electricity;EJ/yr;SE|Liquids|+|Hydrogen;EJ/yr;1;;;;R
Secondary Energy|Liquids|Fossil;EJ/yr;SE|Liquids|+|Fossil;EJ/yr;1;;;;R
Secondary Energy|Liquids|Fossil|w/ CCS;EJ/yr;SE|Liquids|Fossil|++|w/ CC;EJ/yr;1;;;;R
Secondary Energy|Liquids|Fossil|w/o CCS;EJ/yr;SE|Liquids|Fossil|++|w/o CC;EJ/yr;1;;;;R
Secondary Energy|Liquids|Coal;EJ/yr;;;;;;;
Secondary Energy|Liquids|Coal|w/ CCS;EJ/yr;;;;;;;
Secondary Energy|Liquids|Coal|w/o CCS;EJ/yr;;;;;;;
Secondary Energy|Liquids|Gas;EJ/yr;;;;;;;
Secondary Energy|Liquids|Gas|w/ CCS;EJ/yr;;;;;;;
Secondary Energy|Liquids|Gas|w/o CCS;EJ/yr;;;;;;;
Secondary Energy|Liquids|Oil;EJ/yr;;;;;;;
Secondary Energy|Other;EJ/yr;;;;;;;
Secondary Energy|Solids;EJ/yr;SE|Solids;EJ/yr;1;;;;R
Secondary Energy|Solids|Biomass;EJ/yr;SE|Solids|+|Biomass;EJ/yr;1;;;;R
Secondary Energy|Solids|Biomass|Traditional;EJ/yr;;;;;;;
Secondary Energy|Solids|Coal;EJ/yr;SE|Solids|+|Coal;EJ/yr;1;;;;R
Secondary Energy|Solids|Fossil;EJ/yr;SE|Solids;EJ/yr;1;;;;R
Secondary Energy|Solids|Fossil;EJ/yr;SE|Solids|+|Biomass;EJ/yr;-1;;;;R
Temperature|Global Mean;°C;Temperature|Global Mean;K;1;;;;C
Trade|Primary Energy|Biomass|Volume;EJ/yr;Trade|Biomass;EJ/yr;1;;;;R
Trade|Primary Energy|Coal|Volume;EJ/yr;Trade|Coal;EJ/yr;1;;;;R
Trade|Primary Energy|Gas|Volume;EJ/yr;Trade|Gas;EJ/yr;1;;;;R
Trade|Primary Energy|Oil|Volume;EJ/yr;Trade|Oil;EJ/yr;1;;;;R
Trade|Secondary Energy|Electricity|Volume;EJ/yr;;;;;;;
Trade|Secondary Energy|Hydrogen|Volume;EJ/yr;;;;;;;
Trade|Secondary Energy|Liquids|Biomass|Volume;EJ/yr;;;;;;;
Trade|Secondary Energy|Liquids|Coal|Volume;EJ/yr;;;;;;;
Trade|Secondary Energy|Liquids|Electricity|Volume;EJ/yr;;;;;;;
Trade|Secondary Energy|Liquids|Gas|Volume;EJ/yr;;;;;;;
Trade|Secondary Energy|Liquids|Oil|Volume;EJ/yr;;;;;;;
Trade|Secondary Energy|Liquids|Volume;EJ/yr;;;;;;;
Trade|Uranium|Mass;kt U/yr;Trade|Uranium|Mass;ktU/yr;1;;;;R
Capacity|Electricity;GW;Cap|Electricity;GW;1;;;;R
Capacity|Electricity|Biomass|w/ CCS;GW;Cap|Electricity|Biomass|w/ CC;GW;1;;;;R
Capacity|Electricity|Biomass|w/o CCS;GW;Cap|Electricity|Biomass|w/o CC;GW;1;;;;R
Capacity|Electricity|Coal|w/ CCS;GW;Cap|Electricity|Coal|w/ CC;GW;1;;;;R
Capacity|Electricity|Coal|w/o CCS;GW;Cap|Electricity|Coal|w/o CC;GW;1;;;;R
Capacity|Electricity|Gas|w/ CCS;GW;Cap|Electricity|Gas|w/ CC;GW;1;;;;R
Capacity|Electricity|Gas|w/o CCS;GW;Cap|Electricity|Gas|w/o CC;GW;1;;;;R
Capacity|Electricity|Hydro;GW;Cap|Electricity|Hydro;GW;1;;;;R
Capacity|Electricity|Hydrogen;GW;;;;;;;
Capacity|Electricity|Nuclear;GW;Cap|Electricity|Nuclear;GW;1;;;;R
Capacity|Electricity|Oil|w/ CCS;GW;;;;;;;
Capacity|Electricity|Oil|w/o CCS;GW;Cap|Electricity|Oil|w/o CC;GW;1;;;;R
Capacity|Electricity|Solar|CSP;GW;Cap|Electricity|Solar|CSP;GW;1;;;;R
Capacity|Electricity|Solar|PV;GW;Cap|Electricity|Solar|PV;GW;1;;;;R
Capacity|Electricity|Wind;GW;Cap|Electricity|Wind;GW;1;;;;R
Capacity|Electricity|Wind|Offshore;GW;Cap|Electricity|Wind|Offshore;GW;1;;;;R
Capacity|Electricity|Wind|Onshore;GW;Cap|Electricity|Wind|Onshore;GW;1;;;;R
Capacity|Electricity|Biomass;GW;Cap|Electricity|Biomass;GW;1;;;;R
Capacity|Electricity|Coal;GW;Cap|Electricity|Coal;GW;1;;;;R
Capacity|Electricity|Gas;GW;Cap|Electricity|Gas;GW;1;;;;R
Capacity|Electricity|Geothermal;GW;Cap|Electricity|Geothermal;GW;1;;;;R
Capacity|Electricity|Oil;GW;Cap|Electricity|Oil|w/o CC;GW;1;;;;R
Capacity|Electricity|Ocean;GW;;;;;;;
Capacity|Electricity|Other;GW;Cap|Electricity|Hydrogen;GW;1;;;;R
Capacity|Electricity|Solar;GW;Cap|Electricity|Solar;GW;1;;;;R
Capacity|Electricity|Storage;GW;;;;;;;
Capacity|Electricity|Storage|Converter Capacity;GW;;;;;;;
Capacity|Electricity|Storage|Reservoir Capacity;GWh;;;;;;;
Capacity|Electricity|Transmissions Grid;GWkm;;;;;;;
Capacity|Gases|Biomass;GW;Cap|Gases|Biomass;GW;1;;;;R
Capacity|Gases|Biomass|w/ CCS;GW;;;;;;;
Capacity|Gases|Biomass|w/o CCS;GW;;;;;;;
Capacity|Gases|Coal;GW;Cap|Gases|Coal;GW;1;;;;R
Capacity|Gases|Coal|w/ CCS;GW;;;;;;;
Capacity|Gases|Coal|w/o CCS;GW;;;;;;;
Capacity|Hydrogen|Biomass;GW;Cap|Hydrogen|Biomass;GW;1;;;;R
Capacity|Hydrogen|Biomass|w/ CCS;GW;Cap|Hydrogen|Biomass|w/ CC;GW;1;;;;R
Capacity|Hydrogen|Biomass|w/o CCS;GW;Cap|Hydrogen|Biomass|w/o CC;GW;1;;;;R
Capacity|Hydrogen|Coal;GW;Cap|Hydrogen|Coal;GW;1;;;;R
Capacity|Hydrogen|Coal|w/ CCS;GW;Cap|Hydrogen|Coal|w/ CC;GW;1;;;;R
Capacity|Hydrogen|Coal|w/o CCS;GW;Cap|Hydrogen|Coal|w/o CC;GW;1;;;;R
Capacity|Hydrogen|Electricity;GW;Cap|Hydrogen|Electricity;GW;1;;;;R
Capacity|Hydrogen|Gas;GW;Cap|Hydrogen|Gas;GW;1;;;;R
Capacity|Hydrogen|Gas|w/ CCS;GW;Cap|Hydrogen|Gas|w/ CC;GW;1;;;;R
Capacity|Hydrogen|Gas|w/o CCS;GW;Cap|Hydrogen|Gas|w/o CC;GW;1;;;;R
Capacity|Liquids|Biomass;GW;Cap|Liquids|Biomass;GW;1;;;;R
Capacity|Liquids|Biomass|w/ CCS;GW;;;;;;;
Capacity|Liquids|Biomass|w/o CCS;GW;;;;;;;
Capacity|Liquids|Coal;GW;Cap|Liquids|Coal;GW;1;;;;R
Capacity|Liquids|Coal|w/ CCS;GW;;;;;;;
Capacity|Liquids|Coal|w/o CCS;GW;;;;;;;
Capacity|Liquids|Gas;GW;;;;;;;
Capacity|Liquids|Gas|w/ CCS;GW;;;;;;;
Capacity|Liquids|Gas|w/o CCS;GW;;;;;;;
Capacity|Liquids|Oil;GW;Cap|Liquids|Oil;GW;1;;;;R
Capacity Additions|Electricity|Biomass|w/ CCS;GW/yr;New Cap|Electricity|Biomass|w/ CC;GW/yr;1;;;;R
Capacity Additions|Electricity|Biomass|w/o CCS;GW/yr;New Cap|Electricity|Biomass|w/o CC;GW/yr;1;;;;R
Capacity Additions|Electricity|Coal|w/ CCS;GW/yr;New Cap|Electricity|Coal|w/ CC;GW/yr;1;;;;R
Capacity Additions|Electricity|Coal|w/o CCS;GW/yr;New Cap|Electricity|Coal|w/o CC;GW/yr;1;;;;R
Capacity Additions|Electricity|Gas|w/ CCS;GW/yr;New Cap|Electricity|Gas|w/ CC;GW/yr;1;;;;R
Capacity Additions|Electricity|Gas|w/o CCS;GW/yr;New Cap|Electricity|Gas|w/o CC;GW/yr;1;;;;R
Capacity Additions|Electricity|Hydro;GW/yr;New Cap|Electricity|Hydro;GW/yr;1;;;;R
Capacity Additions|Electricity|Hydrogen;GW/yr;;;;;;;
Capacity Additions|Electricity|Nuclear;GW/yr;New Cap|Electricity|Nuclear;GW/yr;1;;;;R
Capacity Additions|Electricity|Oil|w/ CCS;GW/yr;;;;;;;
Capacity Additions|Electricity|Oil|w/o CCS;GW/yr;;;;;;;
Capacity Additions|Electricity|Solar|CSP;GW/yr;New Cap|Electricity|Solar|CSP;GW/yr;1;;;;R
Capacity Additions|Electricity|Solar|PV;GW/yr;New Cap|Electricity|Solar|PV;GW/yr;1;;;;R
Capacity Additions|Electricity|Wind;GW/yr;New Cap|Electricity|Wind;GW/yr;1;;;;R
Capacity Additions|Electricity|Wind|Offshore;GW/yr;New Cap|Electricity|Wind|Offshore;GW/yr;1;;;;R
Capacity Additions|Electricity|Wind|Onshore;GW/yr;New Cap|Electricity|Wind|Onshore;GW/yr;1;;;;R
Capacity Additions|Electricity|Biomass;GW/yr;New Cap|Electricity|Biomass;GW/yr;1;;;;R
Capacity Additions|Electricity|Coal;GW/yr;New Cap|Electricity|Coal;GW/yr;1;;;;R
Capacity Additions|Electricity|Gas;GW/yr;New Cap|Electricity|Gas;GW/yr;1;;;;R
Capacity Additions|Electricity|Geothermal;GW/yr;New Cap|Electricity|Geothermal;GW/yr;1;;;;R
Capacity Additions|Electricity|Oil;GW/yr;New Cap|Electricity|Oil;GW/yr;1;;;;R
Capacity Additions|Electricity|Ocean;GW/yr;;;;;;;
Capacity Additions|Electricity|Other;GW/yr;;;;;;;
Capacity Additions|Electricity|Solar;GW/yr;New Cap|Electricity|Solar;GW/yr;1;;;;R
Capacity Additions|Electricity|Storage Capacity;GWh/yr;;;;;;;
Capacity Additions|Electricity|Storage|Converter Capacity;GW/yr;;;;;;;
Capacity Additions|Electricity|Storage|Reservoir Capacity;GWh/yr;;;;;;;
Capacity Additions|Electricity|Transmissions Grid;GWkm/yr;;;;;;;
Capital Cost|Electricity;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Biomass|w/ CCS;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Biomass|w/o CCS;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Coal|w/ CCS;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Coal|w/o CCS;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Gas|w/ CCS;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Gas|w/o CCS;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Hydro;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Hydrogen;EUR_2020/kW;Tech|Electricity|Hydrogen|Capital Costs;US$2005/kW;1.17;;;;R
Capital Cost|Electricity|Nuclear;EUR_2020/kW;Tech|Electricity|Nuclear|Capital Costs;US$2005/kW;1.17;;;;R
Capital Cost|Electricity|Oil|w/ CCS;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Oil|w/o CCS;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Solar|CSP;EUR_2020/kW;Tech|Electricity|Solar|CSP|Capital Costs;US$2005/kW;1.17;;;;R
Capital Cost|Electricity|Solar|PV;EUR_2020/kW;Tech|Electricity|Solar|PV|Capital Costs;US$2005/kW;1.17;;;;R
Capital Cost|Electricity|Wind;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Wind|Offshore;EUR_2020/kW;Tech|Electricity|Wind|Offshore|Capital Costs;US$2005/kW;1.17;;;;R
Capital Cost|Electricity|Wind|Onshore;EUR_2020/kW;Tech|Electricity|Wind|Onshore|Capital Costs;US$2005/kW;1.17;;;;R
Capital Cost|Electricity|Biomass;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Coal;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Gas;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Geothermal;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Oil;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Ocean;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Other;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Solar;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Storage;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Storage|Converter Capacity;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Storage|Reservoir Capacity;EUR_2020/kW;;;;;;;
Capital Cost|Electricity|Transmissions Grid;EUR_2020/kW;;;;;;;
Efficiency|Hydrogen|Electricity;%;Tech|Electricity|Hydrogen|Efficiency;%;1;;;;R
Lifetime|Electricity|Nuclear;years;Tech|Electricity|Nuclear|Lifetime;years;1;;;;R
