variable;unit;piam_variable;piam_unit;piam_factor;description;source
Production|Non-Ferrous Metals|Aluminum Oxide;Mt/yr;;;;Production of aluminum oxide (alumina), commonly produced via the Bayer process from bauxite;
Production|Non-Ferrous Metals|Aluminum|Primary;Mt/yr;;;;Production of aluminum produced by electrolysis of alumina;
Production|Non-Ferrous Metals|Aluminum|Secondary;Mt/yr;;;;Production of aluminum produced by re-melting of scrap or that originates from a recycling process, including processing of waste streams from primary production;
Production|Non-Ferrous Metals|Bauxite;Mt/yr;;;;Production of sedimentary rock with a relatively high aluminium content, main source of aluminium and gallium;
Production|Non-Ferrous Metals|Copper;Mt/yr;;;;Production of copper;
Production|Non-Ferrous Metals|Copper|Primary;Mt/yr;;;;Production of copper extracted from minerals and free of reclaimed metal scrap;
Production|Non-Ferrous Metals|Copper|Secondary;Mt/yr;;;;Production of copper that does not directly originate from a primary mineral but from a recycling process or from the processing of waste streams from primary production;
Production|Non-Ferrous Metals|Graphite;Mt/yr;;;;Production of graphite;
Production|Non-Ferrous Metals|Lithium;Mt/yr;;;;Production of lithium;
Production|Non-Ferrous Metals|Lithium|Primary;Mt/yr;;;;Production of lithium extracted from minerals and free of reclaimed metal scrap;
Production|Non-Ferrous Metals|Lithium|Secondary;Mt/yr;;;;Production of lithium that does not directly originate from a primary mineral but from a recycling process or from the processing of waste streams from primary production;
Production|Non-Ferrous Metals|Manganese;Mt/yr;;;;Production of manganese;
Production|Non-Ferrous Metals|Nickel;Mt/yr;;;;Production of nickel;
Production|Non-Metallic Minerals;Mt/yr;;;;Production of Non-Metallic Minerals;
Production|Non-Metallic Minerals|Bricks;Mt/yr;;;;Production of bricks, made from clay;
Production|Non-Metallic Minerals|Cement;Mt/yr;Production|Industry|Cement;Mt/yr;1;Production of cement, a binder substance used for construction;R
Production|Non-Metallic Minerals|Cement Clinker;Mt/yr;;;;Production of cement clinker, produced in the manufacture of portland cement as an intermediary product;
Production|Non-Metallic Minerals|Glass;Mt/yr;;;;Production of glass;
Production|Non-Metallic Minerals|Limestone;Mt/yr;;;;Production of limestone;
Production|Pulp and Paper|Paper;Mt/yr;;;;Production of paper, thin sheet material made from cellulose fibers;
Production|Pulp and Paper|Pulp;Mt/yr;;;;Production of pulp, produced from pulpwood, mainly used for paper, board, textiles and cellophane;
Terrestrial Biodiversity|Biodiversity Intactness Index;%;Biodiversity|BII;unitless;100;Terrestrial biodiversity measured with Biodiversity Intactness Index (BII);Mx
Terrestrial Biodiversity|Biodiversity Intactness Index|Areas Outside Key Conservation and Cropland Landscapes;%;Biodiversity|BII in areas outside Biodiversity Hotspots, Intact Forest & Cropland Landscapes;unitless;100;Terrestrial biodiversity in areas outside biodiversity hotspot, intact forest & cropland landscapes measured with Biodiversity Intactness Index (BII);M
Terrestrial Biodiversity|Biodiversity Intactness Index|Biodiversity Hotspots;%;Biodiversity|Biodiversity Hotspot BII;unitless;100;Terrestrial biodiversity in biodiversity hotspot landscapes measured with Biodiversity Intactness Index (BII);M
Terrestrial Biodiversity|Biodiversity Intactness Index|Cropland Landscapes;%;Biodiversity|Cropland Landscapes BII;unitless;100;Terrestrial biodiversity in landscapes containing cropland measured with Biodiversity Intactness Index (BII);M
Terrestrial Biodiversity|Biodiversity Intactness Index|Key Conservation Landscapes;%;Biodiversity|Key Biodiversity Area BII;unitless;100;Terrestrial biodiversity in biodiversity hotspot and intact forest landscapes measured with Biodiversity Intactness Index (BII);M
Terrestrial Biodiversity|Mean Species Abundance;%;;;;Terrestrial biodiversity measured in Mean Species Abundance (MSA);
Terrestrial Biodiversity|Mean Species Abundance|Plants;%;;;;Terrestrial biodiversity of plant species measured in Mean Species Abundance (MSA);
Terrestrial Biodiversity|Mean Species Abundance|Vertebrates;%;;;;Terrestrial biodiversity of vertebrate species measured in Mean Species Abundance (MSA);
Terrestrial Biodiversity|Shannon Crop Diversity Index;unitless;Biodiversity|Shannon crop area diversity index;unitless;;Crop diversity measured by the Shannon index accounting for crop richness and abundance;M
Useful Energy|Commercial;EJ/yr;;;;Useful energy consumption by the commercial sector;
Useful Energy|Industry;EJ/yr;;;;Useful energy consumption by the industrial sector excluding non-energy use (e.g.feedstocks);
Useful Energy|Residential;EJ/yr;;;;Useful energy consumption by the residential sector;
Useful Energy|Residential and Commercial;EJ/yr;;;;Useful energy consumption by the residential and commercial sector;
Useful Energy|Transportation|Passenger;EJ/yr;;;;Useful energy for passenger transport;
Value Added|Agriculture;billion USD_2010/yr;;;;Value added by the the aggregated agricultural sectors (ISIC Rev.4 - Section A);
Value Added|Industry;billion USD_2010/yr;;;;Value added by the the aggregated industrial sector (ISIC Rev.4 - Section B-F);
Value Added|Services;billion USD_2010/yr;;;;Value added by the the aggregated services sector (ISIC Rev.4 - Section G-X);
Water Consumption;km3/yr;Water Consumption|Electricity;km3/yr;;Total water consumption;Rx
Water Consumption;km3/yr;Resources|Water|Consumption|Agriculture;km3/yr;;Total water consumption;M
Water Consumption;km3/yr;Resources|Water|Consumption|Non-agriculture|+|manufacturing;km3/yr;;Total water consumption;M
Water Consumption;km3/yr;Resources|Water|Consumption|Non-agriculture|+|domestic;km3/yr;;Total water consumption;M
Water Consumption|Electricity;km3/yr;Water Consumption|Electricity;km3/yr;;Total water withdrawals for total electricity generation;Rx
Water Consumption|Industrial Water;km3/yr;Resources|Water|Consumption|Non-agriculture|+|manufacturing;km3/yr;;Water consumption for the industrial and manufacturing sector;M
Water Consumption|Irrigation;km3/yr;Resources|Water|Consumption|Agriculture|Crops|+|Crops;km3/yr;;Water consumption for irrigation;M
Water Consumption|Irrigation;km3/yr;Resources|Water|Consumption|Agriculture|Crops|+|Forage;km3/yr;;Water consumption for irrigation;M
Water Consumption|Irrigation;km3/yr;Resources|Water|Consumption|Agriculture|Crops|+|Bioenergy crops;km3/yr;;Water consumption for irrigation;M
Water Consumption|Livestock;km3/yr;Resources|Water|Consumption|Agriculture|Livestock|+|Livestock products;km3/yr;;Water consumption for livestock;M
Water Consumption|Municipal Water;km3/yr;Resources|Water|Consumption|Non-agriculture|+|domestic;km3/yr;;Water consumption for the municipal sector including for residential and commercial buildings and municipal irrigation;M
Water Quality|Nitrogen Concentration;mg N/l;;;;Concentration of nitrogen in water at river mouths;
Water Quality|Phosphorus Concentration;mg P/l;;;;Concentration of phosphorus in water at river mouths;
Water Withdrawal;km3/yr;Water Withdrawal|Electricity;km3/yr;;Total water withdrawals;Rx
Water Withdrawal;km3/yr;Resources|Water|Withdrawal|Agriculture;km3/yr;;Total water withdrawals;M
Water Withdrawal;km3/yr;Resources|Water|Withdrawal|Non-agriculture|+|manufacturing;km3/yr;;Total water withdrawals;M
Water Withdrawal;km3/yr;Resources|Water|Withdrawal|Non-agriculture|+|domestic;km3/yr;;Total water withdrawals;M
Water Withdrawal|Electricity;km3/yr;Water Withdrawal|Electricity;km3/yr;;Total water withdrawals for total electricity generation;Rx
Water Withdrawal|Industrial Water;km3/yr;Resources|Water|Withdrawal|Non-agriculture|+|manufacturing;km3/yr;;Water withdrawals for the industrial and manufacturing sector;M
Water Withdrawal|Irrigation;km3/yr;Resources|Water|Withdrawal|Agriculture|Crops|+|Crops;km3/yr;;Water withdrawal for irrigation;M
Water Withdrawal|Irrigation;km3/yr;Resources|Water|Withdrawal|Agriculture|Crops|+|Forage;km3/yr;;Water withdrawal for irrigation;M
Water Withdrawal|Irrigation;km3/yr;Resources|Water|Withdrawal|Agriculture|Crops|+|Bioenergy crops;km3/yr;;Water withdrawal for irrigation;M
Water Withdrawal|Livestock;km3/yr;Resources|Water|Withdrawal|Agriculture|Livestock|+|Livestock products;km3/yr;;Water withdrawals for livestock;M
Water Withdrawal|Municipal Water;km3/yr;Resources|Water|Withdrawal|Non-agriculture|+|domestic;km3/yr;;Water withdrawals for the municipal sector including for residential and commercial buildings and municipal irrigation;M
Inequality Index|Gini;unitless;;;;;
Nutrients|Nitrogen|Cropland Budget|Inputs;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs;Mt Nr/yr;;;M
Nutrients|Nitrogen|Cropland Budget|Inputs|Atmospheric Deposition;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Atmospheric Deposition;Mt Nr/yr;;;M
Nutrients|Nitrogen|Cropland Budget|Inputs|Biological Fixation;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Freeliving Microorganisms;Mt Nr/yr;;;M
Nutrients|Nitrogen|Cropland Budget|Inputs|Biological Fixation;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Biological Fixation Symbiotic Crops;Mt Nr/yr;;;M
Nutrients|Nitrogen|Cropland Budget|Inputs|Fertilizer;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;M
Nutrients|Nitrogen|Cropland Budget|Inputs|Manure;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure Recycled from Confinements;Mt Nr/yr;;;M
Nutrients|Nitrogen|Cropland Budget|Inputs|Manure;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Manure From Stubble Grazing;Mt Nr/yr;;;M
Nutrients|Nitrogen|Cropland Budget|Inputs|Other;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Ash from Burned Crop Residues;Mt Nr/yr;;;M
Nutrients|Nitrogen|Cropland Budget|Inputs|Other;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Belowground Crop Residues;Mt Nr/yr;;;M
Nutrients|Nitrogen|Cropland Budget|Inputs|Other;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Seed;Mt Nr/yr;;;M
Nutrients|Nitrogen|Cropland Budget|Inputs|Recycled Aboveground Crop Residues;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues;Mt Nr/yr;;;M
Nutrients|Nitrogen|Cropland Budget|Withdrawals;Tg N/yr;Resources|Nitrogen|Cropland Budget|Withdrawals;Mt Nr/yr;;;M
Nutrients|Nitrogen|Pasture Budget|Inputs;Tg N/yr;Resources|Nitrogen|Pasture Budget|Inputs;Mt Nr/yr;;;Mx
Nutrients|Nitrogen|Pasture Budget|Inputs|Atmospheric Deposition;Tg N/yr;Resources|Nitrogen|Pasture Budget|Inputs|+|Atmospheric Deposition;Mt Nr/yr;;;Mx
Nutrients|Nitrogen|Pasture Budget|Inputs|Biological Fixation;Tg N/yr;Resources|Nitrogen|Pasture Budget|Inputs|+|Biological Fixation Freeliving Microorganisms;Mt Nr/yr;;;Mx
Nutrients|Nitrogen|Pasture Budget|Inputs|Fertilizer;Tg N/yr;Resources|Nitrogen|Pasture Budget|Inputs|+|Fertilizer;Mt Nr/yr;;;Mx
Nutrients|Nitrogen|Pasture Budget|Inputs|Manure;Tg N/yr;Resources|Nitrogen|Pasture Budget|Inputs|+|Manure From Grazing;Mt Nr/yr;;;Mx
Nutrients|Nitrogen|Pasture Budget|Inputs|Other;Tg N/yr;;;;;
Nutrients|Nitrogen|Pasture Budget|Withdrawals;Tg N/yr;Resources|Nitrogen|Pasture Budget|Withdrawals;Mt Nr/yr;;;Mx
Fertilizer Use|Nitrogen|Organic;Tg N/yr;Resources|Nitrogen|Cropland Budget|Inputs|+|Recycled Aboveground Crop Residues;Mt Nr/yr;;Total nitrogen inputs in organic fertilizer use;M
Forcing;W/m2;Forcing;W/m2;;radiative forcing from all greenhouse gases and forcing agents,including contributions from albedo change,nitrate,and mineral dust;C
Forcing|Tropospheric Ozone;W/m2;Forcing|Tropospheric Ozone;W/m2;;total radiative forcing from tropospheric ozone;C
Temperature|Global Mean;°C;MAGICC7 AR6|Surface Temperature (GSAT)|50.0th Percentile;K;;change in global mean surface temperature relative to pre-industrial,reported by the model. Please specify which climate model was used in comments tab;C
Policy Cost|Area under MAC Curve;billion US$2010/yr;;;;total costs of the policy,i.e. the area under the Marginal Abatement Cost (MAC) curve;
Emissions|CH4|AFOLU;Mt CH4/yr;Emi|CH4|+|Land-Use Change;Mt CH4/yr;;CH4 emissions from agriculture,forestry and other land use (IPCC category 3);R
Emissions|N2O|AFOLU;kt N2O/yr;Emi|N2O|+|Land-Use Change;kt N2O/yr;;N2O emissions from agriculture,forestry and other land use (IPCC category 3);R
Energy Service|Transportation|Freight;billion tkm/yr;ES|Transport|Freight;billion tkm/yr;;annual demand for energy services related to freight transportation;R
Energy Service|Transportation|Passenger;billion pkm/yr;ES|Transport|Pass;billion pkm/yr;;annual demand for energy services related to passenger transportation;R
Energy Service|Transportation|Passenger|Road;billion pkm/yr;ES|Transport|Pass|Non-motorized;billion pkm/yr;-1;annual demand for energy services related to road passenger transportation;T
Final Energy|Industry;EJ/yr;FE|++|Industry;EJ/yr;;final energy consumed by the industrial sector,including feedstocks,including agriculture and fishing;R
Final Energy|Transportation;EJ/yr;FE|++|Transport;EJ/yr;;final energy consumed in the transportation sector,including bunker fuels,excluding pipelines;R
Final Energy|Transportation|Freight;EJ/yr;FE|Transport|Freight|Electricity;EJ/yr;;final energy consumed for freight transportation;R
Final Energy|Transportation|Freight;EJ/yr;FE|Transport|Freight|Gases;EJ/yr;;final energy consumed for freight transportation;R
Final Energy|Transportation|Freight;EJ/yr;FE|Transport|Freight|Hydrogen;EJ/yr;;final energy consumed for freight transportation;R
Final Energy|Transportation|Freight;EJ/yr;FE|Transport|Freight|Liquids;EJ/yr;;final energy consumed for freight transportation;R
Material recycling|Chemicals;Mt/year;;;;Mass of Chemicals recycled per year;
Material recycling|Plastics;Mt/year;;;;Mass of Plastics recycled per year;
Material recycling|Steel;Mt/year;;;;Mass of Steel recycled per year;
Land Cover|Other Land;million ha;Resources|Land Cover|+|Other Land;million ha;;other land cover that does not fit into any other category (e.g.,rock,ice,desert,water,please provide a definition of the sources in this category in the 'comments' tab);M
Population|Clean cooking Access;million;;;;population with access to clean cooking (e.g. non-solid fuels);
Population|Informal settlements;million;;;;population living in informal settlements (e.g. slums);
Population|substandard accommodation;million;;;;population living in substandard accommodation (e.g. accommodation that does not meet legal requirements and/or enable well being for the occupants;
Freshwater|Environmental Flow;km3/yr;;;;water allocated to environmental flow in rivers and groundwater systems;
Water Consumption;km3/yr;;;;total water consumption;
Water Consumption|Industrial Water;km3/yr;;;;water consumption for the industrial sector;
Water Consumption|Irrigation;km3/yr;;;;water consumption for the irrigation;
Water Consumption|Livestock;km3/yr;;;;water consumption for livestock;
Water Consumption|Municipal Water;km3/yr;;;;water consumption for the municipal sector (e.g.,houses,offices,municipal irrigation);
Water Withdrawal;km3/yr;;;;total water withdrawal;
Water Withdrawal|Industrial Water;km3/yr;;;;water withdrawals for the industrial sector (manufacturing sector if also reporting energy sector water use);
Water Withdrawal|Irrigation;km3/yr;SDG|SDG06|Agricultural water use;km3/yr;;water withdrawal for irrigation;M
Water Withdrawal|Livestock;km3/yr;;;;water withdrawals for livestock;
Water Withdrawal|Municipal Water;km3/yr;;;;water withdrawals for the municial sector (e.g.,houses,offices,municipal irrigation);
Population|Poverty|LMIC poverty line;million;Population|Poverty|LMIC poverty line;million;;population living in poverty with income <US$3.20 2011 PPP per day (World Bank LMIC definition);S
Population|Poverty|UMIC poverty line;million;Population|Poverty|UMIC poverty line;million;;population living in poverty with income <US$5.50 2011 PPP per day (World Bank LMIC definition);S
Population|Gender education gap|Primary;percentage points;;;;difference between genders in primary education completion rate (age 15+);
Population|Gender education gap|Secondary;percentage points;;;;difference between genders in secondary education completion rate (age 20+);
Population|Prevalence of underweight;million;SDG|SDG02|Prevalence of underweight;million;;Number of adults with BMI<18.5 and children with <-1SD from reference BMI;M
Population|Prevalence of underweight|Children;million;SDG|SDG02|Prevalence of underweight|Children;million;;Number of underweight children (-2SD from reference BMI, aged 0--14);M
Population|Prevalence of overweight;million;SDG|SDG03|Prevalence of overweight;million;;Number of adults with BMI>25 and children with >1SD from reference BMI;M
Population|Prevalence of overweight|Children;million;SDG|SDG03|Prevalence of overweight|Children;million;;Number of overweight children (+1SD from reference BMI, aged 0--14);M
Population|Prevalence of obesity;million;SDG|SDG03|Prevalence of obesity;million;;Number of adults with BMI>30 and children with >2SD from reference BMI;M
Population|Prevalence of obesity|Children;million;SDG|SDG03|Prevalence of obesity|Children;million;;Number of obese children (+2SD from reference BMI, aged 0--14);M
Political institutions|Equality before law and individual liberty;-;Political institutions|Equality before law and individual liberty;-;;aggregated ‘Equality Before the Law and Individual Liberty' index (0-1) as defined by V-DEM;S
