variable;unit;piam_variable;piam_unit;piam_factor;description;source
Carbon Removal|Land Use;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Peatland|+|Negative;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through land-based sinks (e.g., afforestation, soil carbon enhancement, biochar);M
Carbon Removal|Land Use|Agroforestry;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|Cropland Tree Cover;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through intentionally integrating trees with crops or pasture on the same land;M
Carbon Removal|Land Use|Biochar;Mt CO2/yr;;;;Gross removals of carbon dioxide (CO2) through conversion of biomass to recalcitrant carbon via pyrolysis and its subsequent application to croplands to increase soil carbon stocks;
Carbon Removal|Land Use|Forest Management;Mt CO2/yr;;;;Gross removals of carbon dioxide (CO2) through improved forest management;
Carbon Removal|Land Use|Other;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Peatland|+|Negative;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through other land-related CDR methods;M
Carbon Removal|Land Use|Re/Afforestation;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|CO2-price AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through reforestation (natural forest) or afforestation (monoculture/non-native species);M
Carbon Removal|Land Use|Re/Afforestation;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Regrowth|+|NPI_NDC AR;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through reforestation (natural forest) or afforestation (monoculture/non-native species);M
Carbon Removal|Land Use|Soil Carbon Management;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Soil|Soil Carbon Management|+|Withdrawals;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through enhancing the carbon content of soils;M
Carbon Removal|Long-Lived Materials;Mt CO2/yr;Emi|CO2|CDR|+|Materials;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through long-lived materials;R
Carbon Removal|Long-Lived Materials;Mt CO2/yr;Emissions|CO2|Land|Land-use Change|Timber|+|Storage in HWP;Mt CO2/yr;-1;Gross removals of carbon dioxide (CO2) through long-lived materials;M
Consumption;billion USD_2010/yr;Consumption;billion US$2017/yr;0.9096;Total consumption of all goods, by all consumers in a region;R
Consumption|D1 [Share];%;;;;Share of total consumption accruing to the first decile;
Consumption|D10 [Share];%;;;;Share of total consumption accruing to the tenth decile;
Consumption|D2 [Share];%;;;;Share of total consumption accruing to the second decile;
Consumption|D3 [Share];%;;;;Share of total consumption accruing to the third decile;
Consumption|D4 [Share];%;;;;Share of total consumption accruing to the fourth decile;
Consumption|D5 [Share];%;;;;Share of total consumption accruing to the fifth decile;
Consumption|D6 [Share];%;;;;Share of total consumption accruing to the sixth decile;
Consumption|D7 [Share];%;;;;Share of total consumption accruing to the seventh decile;
Consumption|D8 [Share];%;;;;Share of total consumption accruing to the eighth decile;
Consumption|D9 [Share];%;;;;Share of total consumption accruing to the ninth decile;
Consumption|Food|D1 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages, for the first decile;
Consumption|Food|D10 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages, for the tenth decile;
Consumption|Food|D2 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages, for the second decile;
Consumption|Food|D3 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages, for the third decile;
Consumption|Food|D4 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages, for the fourth decile;
Consumption|Food|D5 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages, for the fifth decile;
Consumption|Food|D6 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages, for the sixth decile;
Consumption|Food|D7 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages, for the seventh decile;
Consumption|Food|D8 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages, for the eighth decile;
Consumption|Food|D9 [Share];%;;;;Share of total consumption of food and non-alcoholic beverages, for the ninth decile;
Consumption|Housing|Energy|D1 [Share];%;;;;Share of total consumption of electricity, gas and other fuels in housing (code 04.5), for the first decile;
Consumption|Housing|Energy|D10 [Share];%;;;;Share of total consumption of electricity, gas and other fuels in housing (code 04.5), for the tenth decile;
Consumption|Housing|Energy|D2 [Share];%;;;;Share of total consumption of electricity, gas and other fuels in housing (code 04.5), for the second decile;
Consumption|Housing|Energy|D3 [Share];%;;;;Share of total consumption of electricity, gas and other fuels in housing (code 04.5), for the third decile;
Consumption|Housing|Energy|D4 [Share];%;;;;Share of total consumption of electricity, gas and other fuels in housing (code 04.5), for the fourth decile;
Consumption|Housing|Energy|D5 [Share];%;;;;Share of total consumption of electricity, gas and other fuels in housing (code 04.5), for the fifth decile;
Consumption|Housing|Energy|D6 [Share];%;;;;Share of total consumption of electricity, gas and other fuels in housing (code 04.5), for the sixth decile;
Consumption|Housing|Energy|D7 [Share];%;;;;Share of total consumption of electricity, gas and other fuels in housing (code 04.5), for the seventh decile;
Consumption|Housing|Energy|D8 [Share];%;;;;Share of total consumption of electricity, gas and other fuels in housing (code 04.5), for the eighth decile;
Consumption|Housing|Energy|D9 [Share];%;;;;Share of total consumption of electricity, gas and other fuels in housing (code 04.5), for the ninth decile;
Consumption|Transport|Energy|D1 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4), for the first decile;
Consumption|Transport|Energy|D10 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4), for the tenth decile;
Consumption|Transport|Energy|D2 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4), for the second decile;
Consumption|Transport|Energy|D3 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4), for the third decile;
Consumption|Transport|Energy|D4 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4), for the fourth decile;
Consumption|Transport|Energy|D5 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4), for the fifth decile;
Consumption|Transport|Energy|D6 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4), for the sixth decile;
Consumption|Transport|Energy|D7 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4), for the seventh decile;
Consumption|Transport|Energy|D8 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4), for the eighth decile;
Consumption|Transport|Energy|D9 [Share];%;;;;Share of total consumption of fuels for personal transport equipment (Diesel 07.2.2.1 - Petrol 07.2.2.3 - Other fuels 07.2.2.4), for the ninth decile;
Emissions|CH4;Mt CH4/yr;Emi|CH4;Mt CH4/yr;;Emissions of methane (CH4) to the atmosphere;R
Emissions|CH4;Mt CH4/yr;Emi|CH4|Agriculture|+|Waste Burning;Mt CH4/yr;-1;Emissions of methane (CH4) to the atmosphere;R
Emissions|CH4;Mt CH4/yr;Emissions|CH4|Land|Biomass Burning|+|Burning of Crop Residues;Mt CH4/yr;;Emissions of methane (CH4) to the atmosphere;M
Emissions|CH4;Mt CH4/yr;Emissions|CH4|AFOLU|Land|Fires;Mt CH4/yr;;Emissions of methane (CH4) to the atmosphere;M
Emissions|CH4;Mt CH4/yr;Emi|CH4|+|Land-Use Change;Mt CH4/yr;-1;Emissions of methane (CH4) to the atmosphere;R
Emissions|CH4;Mt CH4/yr;Emi|CH4|Land-Use Change|+|Peatland;Mt CH4/yr;;Emissions of methane (CH4) to the atmosphere;R
Emissions|CH4;Mt CH4/yr;Emi|CH4|Extra|Transport|Bunkers|Freight;Mt CH4/yr;;Emissions of methane (CH4) to the atmosphere;R
Emissions|CH4;Mt CH4/yr;Emi|CH4|Extra|Buildings|Solids;Mt CH4/yr;;Emissions of methane (CH4) to the atmosphere;R
Emissions|CH4|AFOLU;Mt CH4/yr;Emi|CH4|+|Agriculture;Mt CH4/yr;;Emissions of methane (CH4) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;R
Emissions|CH4|AFOLU;Mt CH4/yr;Emi|CH4|Agriculture|+|Waste Burning;Mt CH4/yr;-1;Emissions of methane (CH4) from agriculture, forestry and other land use (IPCC 1996 category 4, 5 - IPCC 2006 category 3), including agricultural emissions from livestock, rice cultivation and soil management as well as emissions from land use and land-use change such as deforestation, conversion of non-forest natural land, and drained peatlands;R
