variable;unit;tier;description;comment;piam_variable;piam_unit;piam_factor;internal_comment;source;interpolation
Population|EAT-Lancet Diet [Share];%;;;;;;;;;
Population|Vulnerable to Heat Stress;million;;;;;;;;;
Production|Chemicals|Plastics [per capita];kg/cap/yr;;Per-capita production of plastics;;;;;;;
Production|Iron and Steel [per capita];kg/cap/yr;;Per-capita production of iron and steel;;;;;;;
Production|Non-Metallic Minerals|Cement [per capita];kg/cap/yr;;Per-capita production of cement;;;;;;;
Terrestrial Biodiversity|Land Meeting Local Functional Integrity Threshold [Share];%;;;;Planetary Boundary|Biosphere|Share of land area that satisfies landscape target;unitless;100;;Mx;
Terrestrial Biodiversity|Natural Ecosystem Area [Share];%;;;;Planetary Boundary|Biosphere|Share of intact land relative to total land area;unitless;100;;Mx;
Useful Energy|Industry [per capita];GJ/cap/yr;;;;UE|per capita|Industry;GJ/cap/yr;;;Rx;
Useful Energy|Residential and Commercial [per capita];GJ/cap/yr;;;;UE|per capita|Buildings;GJ/cap/yr;;;Rx;
Useful Energy|Transportation|Passenger [per capita];GJ/cap/yr;;;;;;;;;
Water Extraction|Groundwater;km3/yr;;;;;;;;;
Water Extraction|Surface Water;km3/yr;;;;;;;;;
