variable;unit;piam_variable;piam_unit;piam_factor;weight;comment;source
AREA.CGR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|Maize;million ha;1000;NULL;;M
AREA.RIC;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|Rice;million ha;1000;NULL;;M
AREA.WHT;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|Temperate cereals;million ha;1000;NULL;;M
AREA.CGR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|Tropical cereals;million ha;1000;NULL;;M
ARIR.CGR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|Maize|irrigated;million ha;1000;NULL;;M
ARRF.CGR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|Maize|rainfed;million ha;1000;NULL;;M
ARIR.RIC;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|Rice|irrigated;million ha;1000;NULL;;M
ARRF.RIC;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|Rice|rainfed;million ha;1000;NULL;;M
ARIR.WHT;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|Temperate cereals|irrigated;million ha;1000;NULL;;M
ARRF.WHT;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|Temperate cereals|rainfed;million ha;1000;NULL;;M
ARIR.CGR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|Tropical cereals|irrigated;million ha;1000;NULL;;M
ARRF.CGR;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Cereals|Tropical cereals|rainfed;million ha;1000;NULL;;M
AREA.PFB;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Cotton seed;million ha;1000;NULL;;M
AREA.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Groundnuts;million ha;1000;NULL;;M
AREA.OSD;1000 ha;Resources|Land Cover|Cropland|Croparea|Crops|Oil crops|Oilpalms;million ha;1000;NULL;;M
