X;CountryCode;RegionCode
Sint Maarten (Dutch part);SXM;Latin America (R10)
Seychelles;SYC;Africa (R10)
Syrian Arab Republic;SYR;Middle East (R10)
Turks and Caicos Islands;TCA;Latin America (R10)
Chad;TCD;Africa (R10)
Togo;TGO;Africa (R10)
Thailand;THA;Rest of Asia (R10)
Tajikistan;TJK;Reforming Economies (R10)
Tokelau;TKL;Rest of Asia (R10)
Turkmenistan;TKM;Reforming Economies (R10)
Timor-Leste;TLS;Rest of Asia (R10)
Tonga;TON;Rest of Asia (R10)
Trinidad and Tobago;TTO;Latin America (R10)
Tunisia;TUN;Africa (R10)
Turkey;TUR;Europe (R10)
Tuvalu;TUV;Rest of Asia (R10)
Taiwan, Province of China;TWN;China+ (R10)
Tanzania, United Republic of;TZA;Africa (R10)
Uganda;UGA;Africa (R10)
Ukraine;UKR;Reforming Economies (R10)
United States Minor Outlying Islands;UMI;Rest of Asia (R10)
Uruguay;URY;Latin America (R10)
United States;USA;North America (R10)
Uzbekistan;UZB;Reforming Economies (R10)
Holy See (Vatican City State);VAT;Europe (R10)
Saint Vincent and the Grenadines;VCT;Latin America (R10)
Venezuela, Bolivarian Republic of;VEN;Latin America (R10)
Virgin Islands, British;VGB;Latin America (R10)
Virgin Islands, U.S.;VIR;Latin America (R10)
Viet Nam;VNM;Rest of Asia (R10)
Vanuatu;VUT;Rest of Asia (R10)
Wallis and Futuna;WLF;Rest of Asia (R10)
Samoa;WSM;Rest of Asia (R10)
Yemen;YEM;Middle East (R10)
South Africa;ZAF;Africa (R10)
Zambia;ZMB;Africa (R10)
Zimbabwe;ZWE;Africa (R10)
World;World;World
